"ID","GP","Tps_T_SVT-TC","Tps_T_SVT-TR","Tps_T_SVT-TI","Tps_T_SES-TC","Tps_T_SES-TR","Tps_T_SES-TI","Tps_RI_SES-TC","Tps_RI_SES-TR","Tps_RI_SES-TI","Tps_RI_SVT-TC","Tps_RI_SVT-TR","Tps_RI_SVT-TI","Tps_Xplo_SVT-TC","Tps_Xplo_SVT-TR","Tps_Xplo_SVT-TI","Tps_Xplo_SES-TC","Tps_Xplo_SES-TR","Tps_Xplo_SES-TI","Tps_XplR_SES-TC","Tps_XplR_SES-TR","Tps_XplR_SES-TI","Tps_XplR_SVT-TC","Tps_XplR_SVT-TR","Tps_XplR_SVT-TI","Tps_Co_SVT-TC","Tps_Co_SVT-TR","Tps_Co_SVT-TI","Tps_Co_SES-TC","Tps_Co_SES-TR","Tps_Co_SES-TI","FOK_SES-TC","FOK_SES-TR","FOK_SES-TI","FOK_SVT-TC","FOK_SVT-TR","FOK_SVT-TI","FOF_G_SVT-TC","FOF_G_SVT-TR","FOF_G_SVT-TI","FOF_G_SES-TC","FOF_G_SES-TR","FOF_G_SES-TI","FOF_R_SES-TC","FOF_R_SES-TR","FOF_R_SES-TI","FOF_R_SVT-TC","FOF_R_SVT-TR","FOF_R_SVT-TI","FOF_D_SVT-TC","FOF_D_SVT-TR","FOF_D_SVT-TI","FOF_D_SES-TC","FOF_D_SES-TR","FOF_D_SES-TI","NB_R_SES-TC","NB_R_SES-TR","NB_R_SES-TI","NB_R_SVT-TC","NB_R_SVT-TR","NB_R_SVT-TI","NB_D_SVT-TC","NB_D_SVT-TR","NB_D_SVT-TI","NB_D_SES-TC","NB_D_SES-TR","NB_D_SES-TI","Rel_SES-TC","Rel_SES-TR","Rel_SES-TI","Rel_SVT-TC","Rel_SVT-TR","Rel_SVT-TI","SW2a_SVT-TC","SW2a_SVT-TR","SW2a_SVT-TI","SW2a_SES-TC","SW2a_SES-TR","SW2a_SES-TI","SW2b_SES-TC","SW2b_SES-TR","SW2b_SES-TI","SW2b_SVT-TC","SW2b_SVT-TR","SW2b_SVT-TI","ZTps_T_SVT.TC","ZTps_T_SVT.TR","ZTps_T_SVT.TI","ZTps_T_SES.TC","ZTps_T_SES.TR","ZTps_T_SES.TI","ZTps_RI_SES.TC","ZTps_RI_SES.TR","ZTps_RI_SES.TI","ZTps_RI_SVT.TC","ZTps_RI_SVT.TR","ZTps_RI_SVT.TI","ZTps_Xplo_SVT.TC","ZTps_Xplo_SVT.TR","ZTps_Xplo_SVT.TI","ZTps_Xplo_SES.TC","ZTps_Xplo_SES.TR","ZTps_Xplo_SES.TI","ZTps_XplR_SES.TC","ZTps_XplR_SES.TR","ZTps_XplR_SES.TI","ZTps_XplR_SVT.TC","ZTps_XplR_SVT.TR","ZTps_XplR_SVT.TI","ZTps_Co_SVT.TC","ZTps_Co_SVT.TR","ZTps_Co_SVT.TI","ZTps_Co_SES.TC","ZTps_Co_SES.TR","ZTps_Co_SES.TI","ZFOK_SES.TC","ZFOK_SES.TR","ZFOK_SES.TI","ZFOK_SVT.TC","ZFOK_SVT.TR","ZFOK_SVT.TI","ZFOF_G_SVT.TC","ZFOF_G_SVT.TR","ZFOF_G_SVT.TI","FZOF_G_SES.TC","ZFOF_G_SES.TR","ZFOF_G_SES.TI","ZFOF_R_SES.TC","ZFOF_R_SES.TR","ZFOF_R_SES.TI","ZFOF_R_SVT.TC","ZFOF_R_SVT.TR","ZFOF_R_SVT.TI","ZFOF_D_SVT.TC","ZFOF_D_SVT.TR","ZFOF_D_SVT.TI","ZFOF_D_SES.TC","ZFOF_D_SES.TR","ZFOF_D_SES.TI","ZNB_R_SES.TC","ZNB_R_SES.TR","ZNB_R_SES.TI","ZNB_R_SVT.TC","ZNB_R_SVT.TR","ZNB_R_SVT.TI","ZNB_D_SVT.TC","ZNB_D_SVT.TR","ZNB_D_SVT.TI","ZNB_D_SES.TC","ZNB_D_SES.TR","ZNB_D_SES.TI","ZRel_SES.TC","ZRel_SES.TR","ZRel_SES.TI","ZRel_SVT.TC","ZRel_SVT.TR","ZRel_SVT.TI","ZSW2a_SVT.TC","ZSW2a_SVT.TR","ZSW2a_SVT.TI","ZSW2a_SES.TC","ZSW2a_SES.TR","ZSW2a_SES.TI","ZSW2b_SES.TC","ZSW2b_SES.TR","ZSW2b_SES.TI","ZSW2b_SVT.TC","ZSW2b_SVT.TR","ZSW2b_SVT.TI","LgTps_T_SVT.TC","LgTps_T_SVT.TR","LgTps_T_SVT.TI","LgTps_T_SES.TC","LgTps_T_SES.TR","LgTps_T_SES.TI","LgTps_RI_SES.TC","LgTps_RI_SES.TR","LgTps_RI_SES.TI","LgTps_RI_SVT.TC","LgTps_RI_SVT.TR","LgTps_RI_SVT.TI","LgTps_Xplo_SVT.TC","LgTps_Xplo_SVT.TR","LgTps_Xplo_SVT.TI","LgTps_Xplo_SES.TC","LgTps_Xplo_SES.TR","LgTps_Xplo_SES.TI","LgTps_XplR_SES.TC","LgTps_XplR_SES.TR","LgTps_XplR_SES.TI","LgTps_XplR_SVT.TC","LgTps_XplR_SVT.TR","LgTps_XplR_SVT.TI","LgTps_Co_SVT.TC","LgTps_Co_SVT.TR","LgTps_Co_SVT.TI","LgTps_Co_SES.TC","LgTps_Co_SES.TR","LgTps_Co_SES.TI"
"bakafes","ses",127081,378713,434836,84250,640728,346687,28701,375509,263090,47669,218735,320617,27704,104748,238620,18080.0,336746,221244,10621.0,38763,41846,19965,113987,81997,20878,20532,15349,24105.0,28548,42937,2,3,5,1,6,7,1,5,5,2,2,7,2,1,7,1,3,2,1,4,3,2,2,5,1,1,1,1,1,1,2,6,4,1,1,4,0,3,6,1,1,2,1,4,3,0,1,3,0,0,0,0,0,0,-0.795764308,0.05041963,0.21003026,-0.9985397346,0.3480585,-0.116893407,-0.64555451,1.675201597,0.97116743,-0.45094113,0.45689505,0.90790194,-0.54721179,-0.18469805,0.72591183,-0.671764918,1.90156302,0.899228245,-0.31912054,-0.0923790016,0.592793702,0.17460278,1.7135937,1.07121452,-0.530766925,-0.901888155,-1.023294068,-0.70143858,-0.91342992,-0.263177102,-0.4149043,-0.3973956,0.46852665,-0.6289416,1.73520687,1.9677297,-0.73679027,1.19938537,0.6615676,-0.43230795,-0.92703562,1.3742668,-0.04780094,-1.2148077,1.5914588,-0.5079696,0.3646377,-0.54955516,-0.8291744,0.1421857,-0.5710103,-0.49162695,-1.1930263,0.1498148,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.7289259,0.5054345,1.6976221,0.57187224,-0.7067303,-0.9043198,1.1417453,-0.54649709,0.6077984,2.9674277,0.5754403,-0.07507412,0.53497826,0.4013636,1.4582967,0.8996148,-0.69482068,-0.1546831,1.3158894,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.74451968,5.104081,5.57831,5.638325,4.92557,5.806674,5.539938,4.457897,5.57462,5.420104,4.678236,5.339918,5.505987,4.442542,5.020146,5.377707,4.257198,5.527302,5.344872,4.026165,4.588417,4.621654,4.300269,5.056855,4.913798,4.319689,4.312431,4.18608,4.382107,4.455576,4.632832
"camefes","ses",326998,233401,181000,140100,226098,185401,15409,32199,35400,56153,124166,44999,40557,90802,37499,10909.0,5500,32030,4500.0,26699,3370,15596,33364,7500,17965,15596,55901,38999.0,97500,30000,2,5,5,1,6,5,1,6,3,2,8,7,2,5,7,1,5,6,1,3,5,1,3,5,1,2,1,2,1,1,3,3,1,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0.294108476,-0.53670199,-0.99677896,-0.7975479167,-0.49508002,-0.885336274,-0.73579404,-1.080438143,-1.07225453,-0.34774888,-0.35738791,-1.02769538,-0.36756078,-0.33273663,-0.96154883,-0.727980005,-1.07060669,-0.954503209,-0.527024257,-0.4381020089,-0.795659187,-0.06090721,-0.249813,-0.73774846,-0.674413232,-1.0974940844,0.47061284,-0.28386457,1.04821687,-0.740945035,-0.4149043,0.6297193,0.46852665,-0.6289416,1.73520687,0.9013472,-0.73679027,1.778399,-0.3133741,-0.43230795,2.01149239,1.3742668,-0.04780094,1.15830502,1.5914588,-0.5079696,1.614824,1.97990419,-0.8291744,-0.3554643,0.3426062,-0.97182072,-0.7436352,0.1498148,-0.3947468,0.3164554,-0.5353731,1.692453,-0.6458675,-0.7289259,1.6707417,0.1203538,-0.9721828,-0.7067303,-0.9043198,-0.8844506,-0.54649709,-0.9052316,-0.8381284,-0.6492146,-0.07507412,0.53497826,0.4013636,-0.3393067,-0.8922409,-0.69482068,-0.7656813,-0.8657167,-0.3947468,0.3164554,-0.5353731,1.692453,-0.6458675,-0.74451968,5.514545,5.368103,5.257679,5.146438,5.354297,5.268112,4.187774,4.507842,4.549003,4.749373,5.094003,4.653203,4.608066,4.958095,4.57402,4.037785,3.740363,4.505557,3.653213,4.426495,3.52763,4.193013,4.523278,3.875061,4.254427,4.193013,4.74742,4.591053,4.989005,4.477121
"chfofes","ses",200199,260602,283499,167999,418301,236600,70499,188801,64648,77200,110300,149000,73500,12300,131999,61500.0,154700,61498,8999.0,34101,3150,3700,98000,17001,18000,40801,46498,25500.0,11600,87152,3,4,5,1,6,2,1,6,3,4,4,6,3,5,6,1,5,3,2,8,4,5,6,8,1,1,1,1,1,1,1,1,1,2,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.397152293,-0.42679851,-0.50946929,-0.697145576,-0.10424059,-0.641399997,-0.36178744,0.176556103,-0.80976603,-0.09175083,-0.4767806,-0.29732197,0.09289539,-1.16604543,-0.16866777,-0.331385742,0.26811958,-0.665804918,-0.374212817,-0.2259798521,-0.803598152,-0.70215846,1.32426332,-0.50704176,-0.672687307,-0.0986595117,0.124212991,-0.66232781,-1.395591275,1.369698305,0.1212797,0.1161618,0.46852665,-0.6289416,1.73520687,-0.6982267,-0.73679027,1.778399,-0.3133741,0.57641061,0.05247371,0.8766875,0.75525492,1.15830502,1.0812201,-0.5079696,1.614824,0.08280968,-0.1720928,2.132786,-0.1142021,0.94895435,0.604538,1.6599477,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.9311584,-0.9721828,0.1079727,0.2912216,-0.8844506,-0.54649709,-0.9052316,-0.8381284,0.5754403,-0.64154245,-0.68567636,-0.6396733,-0.9385078,-0.8922409,-0.69482068,1.0673133,-0.8657167,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.74451968,5.301462,5.415978,5.452552,5.225307,5.621489,5.374015,4.848183,5.276004,4.810555,4.887617,5.042576,5.173186,4.866287,4.089905,5.120571,4.788875,5.18949,4.788861,3.954194,4.532767,3.498311,3.568202,4.991226,4.230474,4.255273,4.610671,4.667434,4.40654,4.064458,4.940277
"cofrhs","s",87496,184000,131599,76501,319004,354500,36000,169907,161063,20499,94096,57002,14498,72000,42003,31323.0,145243,155065,4677.0,24664,5998,6001,22096,14999,18296,53904,31100,22500.0,46500,48001,1,2,4,1,1,2,1,2,3,1,4,4,1,3,4,1,1,2,1,3,8,1,6,6,1,1,1,2,1,1,2,1,1,2,4,2,0,0,1,1,0,0,1,0,0,2,2,1,0,0,0,1,0,0,-1.011566937,-0.73630282,-1.2316455,-1.0264266746,-0.30615827,-0.079668576,-0.59600152,0.024899998,0.05551803,-0.78141422,-0.61630456,-0.94340126,-0.73179681,-0.53232227,-0.92375903,-0.567950054,0.18326479,0.250871919,-0.521012337,-0.4964198405,-0.700824635,-0.57812356,-0.52422187,-0.55565505,-0.658090909,0.4205918037,-0.443038403,-0.74643699,-0.402705312,-0.076161812,-0.9510883,-0.9109531,-0.07059991,-0.6289416,-1.02534952,-0.6982267,-0.73679027,-0.53765551,-0.3133741,-0.93666724,0.05247371,-0.1184713,-0.8508568,-0.02825134,0.0607427,-0.5079696,-0.8855487,-0.54955516,-0.8291744,-0.3554643,1.713031,-0.97182072,0.604538,0.6531924,-0.3947468,-0.6708854,-0.5353731,1.692453,-0.6458675,-0.7289259,0.5054345,-0.9311584,-0.9721828,0.1079727,0.8889924,-0.209052,-0.54649709,-0.9052316,-0.2038691,0.5754403,-0.64154245,-0.68567636,0.4013636,-0.9385078,-0.8922409,0.82281396,0.4563151,-0.1385147,-0.3947468,-0.6708854,-0.5353731,1.692453,-0.6458675,-0.74451968,4.941988,5.264818,5.119253,4.883667,5.503796,5.549616,4.556303,5.230211,5.206996,4.311733,4.973571,4.75589,4.161308,4.857332,4.62328,4.495863,5.162095,5.190514,3.669967,4.392064,3.778006,3.778224,4.344314,4.176062,4.262356,4.731621,4.49276,4.352183,4.667453,4.68125
"DADEHES","ses",177401,323741,308701,178054,323741,331802,45939,149793,179700,64101,167397,111401,44602,101600,89698,36585.0,102333,136701,9354.0,47460,42999,19499,65797,21703,11402,35250,41298,15269.0,33003,53101,2,2,3,1,2,1,2,5,1,3,2,3,2,4,3,2,6,1,3,5,1,4,9,7,1,2,3,1,3,1,2,2,2,1,2,5,1,1,0,0,0,0,1,1,1,0,1,4,0,1,2,0,2,0,-0.52143847,-0.17169038,-0.38965174,-0.6609598512,-0.29652571,-0.187812595,-0.52852554,-0.136548657,0.22277726,-0.25107607,0.01485106,-0.56137049,-0.31102236,-0.21811448,-0.52358483,-0.526700048,-0.2017536,0.070959627,-0.362155013,0.1568545025,0.634401098,0.14948315,0.54002575,-0.3928661,-0.998048906,-0.3186369254,-0.067351319,-0.94916813,-0.7866876,0.112182971,-0.4149043,-0.9109531,-0.60972646,-0.6289416,-0.47323824,-1.2314179,-0.08531256,1.19938537,-1.2883158,0.07205133,-0.92703562,-0.6160506,-0.04780094,0.56502684,-0.449496,0.399891,2.2399172,-1.18191999,0.4849888,0.6398358,-1.4846269,0.46876058,1.9527111,1.1565701,-0.3947468,0.3164554,1.6583508,-0.2585692,1.0833907,-0.7289259,0.5054345,-0.4054023,-0.45749779,-0.7067303,-0.3065491,1.8171439,-0.01285876,-0.4008883,-0.8381284,-0.6492146,-0.64154245,-0.68567636,0.4013636,-0.3393067,-0.2949557,-0.69482068,-0.1546831,2.0430915,-0.3947468,0.3164554,1.6583508,-0.2585692,1.0833907,-0.74451968,5.248956,5.510198,5.489538,5.250552,5.510198,5.520879,4.662182,5.175492,5.254548,4.806865,5.223748,5.046889,4.649354,5.006894,4.952783,4.563303,5.010016,5.135772,3.970997,4.676328,4.633458,4.290012,4.818206,4.33652,4.056981,4.547159,4.615929,4.183811,4.518553,4.725103
"dedjfes","ses",179100,475401,,279100,291099,852310,72362,118603,312801,23821,35998,,14396,12002,42500,57966.0,106601,270301,14396.0,12002,42500,9425,23996,,26099,47200,,20201.0,49199,24410,1,1,1,1,7,1,1,4,1,1,1,1,1,1,1,1,3,1,2,3,1,1,2,1,2,1,2,1,1,,1,3,,3,1,2,0,0,1,0,2,,0,0,,1,0,1,1,0,1,0,0,,-0.512176157,0.44107984,,-0.2973176089,-0.36290231,2.29213396,-0.34913951,-0.386900827,1.41730274,-0.7410082,-1.11655529,,-0.7332225,-1.16920873,-0.91958906,-0.359089566,-0.16345814,1.379840166,-0.190900228,-0.8592799796,0.616394081,-0.3935536,-0.47795129,,-0.273308163,0.1549228104,,-0.81089265,-0.325920234,-0.947385689,-0.9510883,-1.4245105,-1.68797956,-0.6289416,2.28731815,-1.2314179,-0.73679027,0.62037174,-1.2883158,-0.93666724,-1.41679029,-1.6112094,-0.8508568,-1.2148077,-1.4699734,-0.5079696,0.3646377,-1.18191999,-0.1720928,-0.3554643,-1.4846269,-0.97182072,-1.1930263,-1.8636958,1.1654429,-0.6708854,0.5614889,-0.2585692,-0.6458675,,-0.6598728,0.1203538,,0.9226757,-0.9043198,-0.209052,-0.54649709,-0.9052316,-0.2038691,-0.6492146,0.49139422,,-0.6396733,-0.9385078,,0.06399664,-0.7656813,-0.1385147,1.1654429,-0.6708854,0.5614889,-0.2585692,-0.6458675,,5.253096,5.67706,,5.44576,5.464041,5.930598,4.859511,5.074096,5.495268,4.37696,4.556278,,4.158242,4.079254,4.628389,4.763173,5.027761,5.431848,4.158242,4.079254,4.628389,3.974281,4.380139,,4.416624,4.673942,,4.305373,4.691956,4.387568
"emhufs","s",194631,214863,567209,126938,318900,245945,13951,126849,63794,23497,65715,174080,21358,54908,164341,11662.0,53402,36312,2289.0,73447,27482,2139,10807,9739,23536,84148,36138,22642.0,73698,56642,3,4,4,1,4,4,1,4,3,2,4,5,2,5,5,1,3,3,1,5,5,2,8,6,1,1,2,1,1,1,1,2,2,1,3,2,1,0,5,0,2,3,0,1,0,0,0,1,0,0,1,0,0,0,-0.427506948,-0.61160332,0.8393695,-0.8449150484,-0.30636975,-0.596875993,-0.74569242,-0.320712818,-0.81743033,-0.74494906,-0.86067814,-0.12119131,-0.63591212,-0.71375604,0.10269053,-0.722077068,-0.6407966,-0.912552412,-0.602122299,0.9015746444,0.074451429,-0.78630382,-0.79914216,-0.68338026,-0.399695217,1.619114034,-0.257442058,-0.74245582,0.371062953,0.242953339,0.1212797,0.1161618,-0.07059991,-0.6289416,0.63098432,0.3681559,-0.73679027,0.62037174,-0.3133741,-0.43230795,0.05247371,0.3791081,-0.04780094,1.15830502,0.5709814,-0.5079696,0.3646377,0.08280968,-0.8291744,0.6398358,0.3426062,-0.49162695,1.5033201,0.6531924,-0.3947468,-0.6708854,0.5614889,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.4054023,-0.45749779,-0.7067303,0.2912216,-0.209052,-0.01285876,-0.9052316,2.3331683,-0.6492146,0.49139422,1.14530557,-0.6396733,-0.3393067,-0.8922409,-0.69482068,-0.7656813,-0.1385147,-0.3947468,-0.6708854,0.5614889,-0.2585692,-0.6458675,-0.74451968,5.289212,5.332162,5.753743,5.103592,5.503655,5.390838,4.144605,5.103287,4.80478,4.371012,4.817665,5.240749,4.329561,4.739636,5.215746,4.066773,4.727558,4.56005,3.359646,4.865974,4.439048,3.330211,4.033705,3.988514,4.371733,4.925044,4.557964,4.354915,4.867456,4.753139
"enjahs","s",159499,445300,331899,271300,268899,424900,88201,144499,127555,25499,180598,133973,19498,140529,125775,62703.0,112132,91180,25498.0,32367,36375,6001,40069,8198,16500,46103,21002,24099.0,46501,47149,1,3,4,1,3,1,1,1,1,1,4,3,1,6,3,0,3,1,1,2,2,2,4,4,2,1,2,1,4,2,1,4,3,4,3,3,1,4,1,1,0,0,0,2,0,1,1,2,1,0,1,0,3,1,-0.619033485,0.31945913,-0.27936179,-0.3253880867,-0.40804539,0.255750356,-0.24160837,-0.179041904,-0.24520217,-0.72059841,0.12851779,-0.40285289,-0.66191001,0.19512185,-0.22088885,-0.321955154,-0.11383015,-0.375010066,0.186186369,-0.2756718029,0.395366065,-0.57812356,-0.08652657,-0.72079938,-0.74665554,0.111450423,-0.815041558,-0.7016068,-0.402676862,-0.10762647,-0.9510883,-0.3973956,-0.07059991,-0.6289416,0.07887304,-1.2314179,-0.73679027,-1.11666914,-1.2883158,-0.93666724,0.05247371,-0.6160506,-0.8508568,1.7515832,-0.449496,-1.4158302,0.3646377,-1.18191999,-0.8291744,-0.8531144,-1.0278186,-0.49162695,-0.2942441,-0.3535629,1.1654429,-0.6708854,0.5614889,-0.2585692,1.9480198,-0.0343024,-0.6598728,0.6461099,0.05718722,1.7373787,0.2912216,0.4663467,-0.01285876,1.1121417,-0.2038691,0.5754403,-0.64154245,-0.68567636,-0.6396733,0.2598945,-0.8922409,0.06399664,-0.1546831,0.5886874,1.1654429,-0.6708854,0.5614889,-0.2585692,1.9480198,-0.04328603,5.202758,5.648653,5.521006,5.43345,5.429589,5.628287,4.945474,5.159865,5.105697,4.406523,5.256713,5.127017,4.28999,5.147766,5.099594,4.797288,5.04973,4.9599,4.406506,4.510102,4.560803,3.778224,4.602809,3.913708,4.217484,4.663729,4.322261,4.381999,4.667462,4.673472
"ervifs","s",219800,742598,299901,171400,707398,153399,11805,24317,27762,22350,155505,46233,16460,129840,37930,8851.0,13713,21835,2954.0,10604,5927,5890,25665,8303,24000,81641,30000,39742.0,25744,21138,3,6,6,1,3,1,1,6,1,3,6,6,2,5,6,1,3,1,1,5,1,1,5,5,1,1,1,1,3,4,1,2,2,1,2,2,0,0,0,0,4,0,0,1,1,0,0,1,0,0,0,0,2,3,-0.290294965,1.52066815,-0.43148947,-0.684906128,0.48363008,-1.037808954,-0.76026163,-1.14370444,-1.14080237,-0.7589002,-0.08754458,-1.0190293,-0.70437323,0.08165674,-0.95793262,-0.744113132,-0.99691394,-1.054383726,-0.579535145,-0.8993430403,-0.703386756,-0.58410699,-0.43730624,-0.71824973,-0.376814377,1.5197655606,-0.483561623,-0.26303353,-0.99320219,-1.068221793,0.1212797,1.1432767,1.0076532,-0.6289416,0.07887304,-1.2314179,-0.73679027,1.778399,-1.2883158,0.07205133,1.03198305,0.8766875,-0.04780094,1.15830502,1.0812201,-0.5079696,0.3646377,-1.18191999,-0.8291744,0.6398358,-1.4846269,-0.97182072,0.1551469,0.1498148,-0.3947468,-0.6708854,-0.5353731,-0.2585692,1.0833907,1.3549447,-0.6598728,-0.4054023,-0.45749779,-0.7067303,-0.3065491,-0.209052,-0.54649709,-0.9052316,-0.8381284,-0.6492146,1.62433089,-0.68567636,-0.6396733,-0.3393067,-0.2949557,-0.69482068,-0.7656813,-0.1385147,-0.3947468,-0.6708854,-0.5353731,-0.2585692,1.0833907,1.35918128,5.342028,5.870754,5.476978,5.234011,5.849664,5.185823,4.072066,4.38591,4.443451,4.349278,5.191744,4.664952,4.21643,5.113409,4.578983,3.946992,4.137132,4.339153,3.47041,4.02547,3.772835,3.770115,4.409341,3.919235,4.380211,4.911908,4.477121,4.59925,4.410676,4.325064
"fajahs","s",112999,234500,446598,205700,234500,377201,80500,67102,177805,47099,94500,354298,38241,88500,305696,76001.0,48700,72099,4499.0,18402,105706,8858,6000,48602,11100,72500,39000,27500.0,80999,50100,4,5,7,1,3,1,1,1,1,2,5,4,5,4,4,2,2,2,3,6,6,7,6,7,1,3,4,1,1,3,2,2,6,1,2,3,0,1,0,0,0,0,1,1,3,0,0,0,0,2,3,0,0,2,-0.87253411,-0.53226157,0.26595018,-0.5614680017,-0.47799479,0.028489736,-0.29389055,-0.800282908,0.20577044,-0.45787413,-0.61282593,1.1444353,-0.39993235,-0.35717266,1.28869797,-0.217709132,-0.68298622,-0.561946815,-0.527058222,-0.6758725487,2.897258861,-0.42411761,-0.91620672,0.2603051,-1.012941177,1.1575220839,-0.152008009,-0.60625503,0.578772421,0.001354992,0.6574637,0.6297193,1.54677975,-0.6289416,0.07887304,-1.2314179,-0.73679027,-1.11666914,-1.2883158,-0.43230795,0.54222838,-0.1184713,2.36136664,0.56502684,0.0607427,0.399891,-0.2604555,-0.54955516,0.4849888,1.1374859,0.7994145,1.90934189,0.604538,1.1565701,-0.3947468,1.3037961,2.7552127,-0.2585692,-0.6458675,0.6603211,0.5054345,-0.4054023,1.60124226,-0.7067303,-0.3065491,0.4663467,-0.54649709,-0.4008883,-0.8381284,-0.6492146,-0.64154245,-0.68567636,0.4013636,-0.3393067,0.8996148,-0.69482068,-0.7656813,-0.8657167,-0.3947468,1.3037961,2.7552127,-0.2585692,-0.6458675,0.65794763,5.053075,5.370143,5.649917,5.313234,5.370143,5.576573,4.905796,4.826735,5.249944,4.673012,4.975432,5.549369,4.582529,4.946943,5.48529,4.880819,4.687529,4.857929,3.653116,4.264865,5.0241,3.947336,3.778151,4.686654,4.045323,4.860338,4.591065,4.439333,4.90848,4.699838
"fesahs","s",168098,394445,147300,189643,243300,237600,23064,91964,49930,35521,237337,32223,32718,133495,29989,19471.0,63931,44425,3593.0,28033,5505,2803,103842,2234,14079,50901,21179,48563.0,51935,56970,2,4,6,2,2,3,2,2,4,3,5,7,1,5,7,2,5,3,2,4,4,5,5,6,1,1,1,1,3,1,1,6,1,1,1,1,1,1,1,0,2,0,0,5,0,0,0,0,0,0,0,0,2,0,-0.57215495,0.11398353,-1.15699844,-0.6192535992,-0.46010024,-0.636635524,-0.68382416,-0.600723573,-0.94185389,-0.59869921,0.6170669,-1.11741808,-0.47712931,0.12045504,-1.0245598,-0.660860556,-0.54632308,-0.83306927,-0.557831097,-0.3998730226,-0.718615135,-0.75051105,1.46653317,-0.86561937,-0.866040267,0.3015876291,-0.808521004,-0.01572453,-0.248082526,0.255066494,-0.4149043,0.1161618,1.0076532,0.01534004,-0.47323824,-0.1650354,-0.08531256,-0.53765551,0.1740967,0.07205133,0.54222838,1.3742668,-0.8508568,1.15830502,1.5914588,0.399891,1.614824,0.08280968,-0.1720928,0.1421857,-0.1142021,0.94895435,0.1551469,0.6531924,-0.3947468,-0.6708854,-0.5353731,-0.2585692,1.0833907,-0.7289259,-0.6598728,1.6976221,-0.9721828,-0.7067303,-0.9043198,-0.8844506,-0.01285876,-0.4008883,-0.2038691,-0.6492146,0.49139422,-0.68567636,-0.6396733,2.0574978,-0.8922409,-0.69482068,-0.7656813,-0.8657167,-0.3947468,-0.6708854,-0.5353731,-0.2585692,1.0833907,-0.74451968,5.225563,5.595986,5.168203,5.277937,5.386142,5.375846,4.362935,4.963618,4.698362,4.550485,5.375365,4.508166,4.514787,5.125465,4.476962,4.289388,4.805711,4.647627,3.555457,4.44767,3.740757,3.447623,5.016373,3.349083,4.148572,4.706726,4.325905,4.686306,4.71546,4.755646
"gabahs","s",122699,357101,261400,104600,382099,215502,19801,160966,87273,36184,240209,118226,7501,161020,113332,13501.0,75511,58773,6300.0,85455,28500,28683,79189,4894,19598,50980,33147,27000.0,47042,22702,1,6,5,1,4,2,1,4,4,1,4,5,1,2,5,1,2,1,1,5,3,1,4,4,1,3,1,1,3,1,1,4,1,1,2,1,0,4,1,0,1,0,0,3,0,0,1,0,0,2,0,0,2,0,-0.819653334,-0.03690194,-0.61453428,-0.9253045781,-0.17785635,-0.741920859,-0.7059767,-0.046866554,-0.60671618,-0.59063504,0.64179615,-0.51344019,-0.8295964,0.41263644,-0.32528905,-0.707660732,-0.44241926,-0.69250177,-0.465886095,1.2456928366,0.111187188,0.64454464,0.86616026,-0.8010283,-0.593886483,0.304718275,-0.367628376,-0.62027323,-0.387285707,-1.010462726,-0.9510883,1.1432767,0.46852665,-0.6289416,0.63098432,-0.6982267,-0.73679027,0.62037174,0.1740967,-0.93666724,0.05247371,0.3791081,-0.8508568,-0.62152952,0.5709814,-0.5079696,-0.2604555,-1.18191999,-0.8291744,0.6398358,-0.5710103,-0.97182072,-0.2942441,-0.3535629,-0.3947468,1.3037961,-0.5353731,-0.2585692,1.0833907,-0.7289259,-0.6598728,0.6461099,-0.9721828,-0.7067303,-0.3065491,-0.8844506,-0.54649709,1.1121417,-0.2038691,-0.6492146,-0.07507412,-0.68567636,-0.6396733,0.8590956,-0.8922409,-0.69482068,-0.1546831,-0.8657167,-0.3947468,1.3037961,-0.5353731,-0.2585692,1.0833907,-0.74451968,5.088841,5.552791,5.417306,5.019532,5.582176,5.333451,4.296687,5.206734,4.94088,4.558517,5.380589,5.072713,3.875119,5.20688,5.054353,4.130366,4.87801,4.769178,3.799341,4.931737,4.454845,4.457625,4.898665,3.689664,4.292212,4.7074,4.520444,4.431364,4.672486,4.356064
