"A","Expertise","Moy_Score","Score_TC1","TGains_TC1","Tps_Comp_TC1","Tps_RI_TC1","Tps_Xplo_TC1","TempsAccGooTC1","Tps_Xplr_TC1","SW2a_TC1","SW2b_TC1","Doc_TC1","Req_TC1","FOFG_TC1","FOFD_TC1","FOK_TC1","PM_TC1","Score_TC2","TGains_TC2","Tps_Comp_TC2","Tps_RI_TC2","Tps_Xplo_TC2","TempsAccGooTC2","Tps_Xplr_TC2","SW2a_TC2","SW2b_TC2","Doc_TC2","Req_TC2","FOFG_TC2","FOFD_TC2","FOK_TC2","PM_TC2","Score_TC3","TGains_TC3","Tps_Comp_TC3","Tps_RI_TC3","Tps_Xplo_TC3","TempsAccGooTC3","Tps_Xplr_TC3","SW2a_TC3","SW2b_TC3","Doc_TC3","Req_TC3","FOFG_TC3","FOFD_TC3","FOK_TC3","PM_TC3","Moy_Tps_Xplr","Moy_Tps_Xplo","Moy_Tps_RI","Moy_Tps_Comp","Moy_Tps_Model","Moy_SW2a","Moy_SW2b","Moy_TGains","Moy_Doc","Moy_FOFG","Moy_FOFD","Moy_FOK","Moy_PM","Level_FOFD","Level_FOFG","LG_Moy_Tps_Comp","LG_Moy_Tps_RI","LG_Moy_Tps_Xplr","LG_Moy_Tps_Xplo","LG_Moy_TGains(2)","SW2a_lvl"
"0106_CE1ASSP","novice",1.3333333333333333,2,0.014757207,217213,184685,135527,43175,5983,0,0,1,1,1,1,1,0,0,0.0,51395,27667,8575,16987,2105,0,0,1,1,2,1,1,0,2,0.017534477,182854,170980,114061,27081,29838,2,1,4,2,2,2,1,4,12642.0,86054.3333333333,127777.333333333,150487.333333333,29081.0,0.666666666666667,0.333333333333333,0.0107638946666667,2.0,1.66666666666667,1.33333333333333,1.0,1.33333333333333,"low","low",5.177499946475071,5.106453820322156,4.101815785991744,4.934772744452896,0.27019143583301036,"high"
"0806_JA1ASSP","novice",1.0,1,0.01171454,141567,111895,85364,19513,7018,0,0,1,1,3,5,3,16,0,0.0,107265,86205,65608,10023,10574,0,0,1,1,3,3,2,4,2,0.02252582,233220,204523,88787,24025,91711,5,0,5,1,4,5,4,0,36434.3333333333,79919.6666666667,134207.666666667,160684.0,17853.6666666667,1.66666666666667,0.0,0.0114134533333333,2.33333333333333,3.33333333333333,4.33333333333333,3.0,6.66666666666667,"high","hign",5.205972634338606,5.127777325787699,4.561510827317558,4.902653663842436,0.2039711692006924,"high"
"0806_AD1ASSP","novice",1.0,0,0.0,165195,117885,72820,29527,15538,1,0,2,1,4,3,5,1,2,0.050552284,95637,79801,39563,13683,26555,0,0,1,1,5,5,5,16,1,0.009811617,291758,221077,101920,18363,100794,1,1,2,2,2,1,2,1,47629.0,71434.3333333333,139587.666666667,184196.666666667,20524.3333333333,0.666666666666667,0.333333333333333,0.0201213003333333,1.66666666666667,3.66666666666667,3.0,4.0,6.0,"high","hign",5.265281766678574,5.144847047690924,4.677871463328911,4.853906995997043,0.2060196045834186,"high"
"2405_ACTASSP","expert",1.0,1,0.053427365,91740,52384,18717,30098,3569,0,0,1,1,2,2,2,1,0,0.0,76668,29500,17026,8704,3770,1,0,2,1,1,1,1,1,2,0.035424563,140231,112940,56458,16651,39831,1,0,2,1,1,2,2,0,15723.3333333333,30733.6666666667,64941.3333333333,102879.666666667,18484.3333333333,0.666666666666667,0.0,0.0296173093333333,1.66666666666667,1.33333333333333,1.66666666666667,1.66666666666667,0.666666666666667,"low","low",5.012329548454741,4.8125212010341265,4.196544621526038,4.487614376660722,0.222835546031054,"high"
"2405_JBTASSP_2","expert",1.6666666666666667,2,0.01736096,215754,139088,115201,16992,6895,0,0,1,1,3,1,2,0,1,,,,,,,,,,,3,1,2,,2,0.036671006,115693,77821,54539,16056,7226,0,0,1,1,4,2,3,1,7060.5,84870.0,108454.5,165723.5,16524.0,0.0,0.0,0.027015983,1.0,3.33333333333333,1.33333333333333,2.33333333333333,0.5,"low","hign",5.219384096812084,5.035247576494274,3.8488354573622803,4.928754202176653,0.33815171102073377,"low"
"2505_mttassp","expert",1.0,1,0.01950953,108016,87196,51257,27677,8262,0,0,1,1,2,1,1,0,0,0.0,42637,23217,10577,10181,2459,0,0,1,1,2,2,2,1,2,0.066085118,69076,56781,30264,13581,12936,2,0,3,1,2,3,2,0,7885.66666666667,30699.3333333333,55731.3333333333,73243.0,17146.3333333333,0.666666666666667,0.0,0.0285315493333333,1.66666666666667,2.0,2.0,1.66666666666667,0.333333333333333,"low","low",4.864766124498618,4.746099433373486,3.8968384151558046,4.487128944441411,0.22285965310597666,"high"
"2505_LCTASSP","expert",1.6666666666666667,1,0.040990326,65373,48870,24396,18992,5482,0,0,1,1,1,2,2,1,2,0.057783428,89425,63424,34612,13006,15806,0,0,1,1,1,1,1,0,2,0.029486348,178652,144703,67828,31692,45183,1,0,2,1,2,3,5,1,22157.0,42278.6666666667,85665.6666666667,111150.0,21230.0,0.333333333333333,0.0,0.0427533673333333,1.33333333333333,1.33333333333333,2.0,2.66666666666667,0.666666666666667,"low","low",5.04590946703501,4.932806798996651,4.34551095769695,4.626121282598493,0.3602730159574415,"high"
"2505_NCTASSP","expert",2.0,2,0.031004387,111146,92367,64507,18397,9463,0,0,1,1,2,4,3,9,2,0.039637711,87120,71562,50457,11304,9801,0,0,1,1,3,2,2,1,2,0.088845453,78367,54767,22511,13195,19061,0,0,1,1,1,1,1,0,12775.0,45825.0,72898.6666666667,92211.0,14298.6666666667,0.0,0.0,0.053162517,1.0,2.0,2.33333333333333,2.0,3.33333333333333,"high","low",4.964782731838307,4.862719585044934,4.10636090880675,4.661102473634254,0.42908303589399593,"low"
"3105_EMTASSP","expert",1.3333333333333333,1,0.007665185,187637,166454,130460,19268,16726,0,0,1,1,4,2,3,1,1,0.012369196,242859,184093,80846,70333,32914,0,0,1,1,1,1,1,0,2,0.031922365,128449,107290,62652,9056,35582,1,1,3,2,3,2,2,1,28407.3333333333,91319.3333333333,152612.333333333,186315.0,32885.6666666667,0.333333333333333,0.333333333333333,0.0173189153333333,1.66666666666667,2.66666666666667,1.66666666666667,2.0,0.666666666666667,"low","hign",5.270247820838205,5.183589632453528,4.45343046733876,4.960562732311064,0.2687867093482255,"high"
"3105_LTTASSP","expert",1.6666666666666667,2,0.01538793,286646,162796,129972,16003,16821,0,1,1,2,1,1,1,0,1,0.013410938,161346,127374,74566,49581,3227,0,0,1,1,3,3,2,4,2,0.103998752,77949,32079,19231,8180,4668,0,0,1,1,2,2,2,1,8238.66666666667,74589.6666666667,107416.333333333,175313.666666667,24588.0,0.0,0.333333333333333,0.0442658733333333,1.0,2.0,2.0,1.66666666666667,1.66666666666667,"low","low",5.243815773062229,5.031070323609406,3.915856931822878,4.872678666340149,0.3420432129415367,"low"
"0806_JR1ASSP","novice",1.3333333333333333,2,0.04698365,135847,85703,42568,3488,39647,1,1,2,2,3,5,3,9,0,0.0,187222,74712,36582,18614,19516,0,0,1,1,3,4,3,9,2,0.017535092,274952,214606,114057,18146,82403,0,1,1,2,4,3,2,4,47188.6666666667,64402.3333333333,125007.0,199340.333333333,13416.0,0.333333333333333,0.666666666666667,0.0215062473333333,1.33333333333333,3.33333333333333,4.0,2.66666666666667,7.33333333333333,"high","hign",5.29959518014498,5.096934332818095,4.673837706364143,4.8089016023820745,0.27726359230824577,"high"
"0806_LP1ASSP","expert",2.0,2,0.010173768,246435,217887,196584,8770,12533,0,1,1,2,1,2,1,1,2,0.010927588,214426,205365,183023,12138,10204,0,0,1,1,1,1,1,0,2,0.039401103,101031,79359,50760,17654,10945,0,0,2,1,2,2,1,0,11227.3333333333,143455.666666667,167537.0,187297.333333333,12854.0,0.0,0.333333333333333,0.0201674863333333,1.33333333333333,1.33333333333333,1.66666666666667,1.0,0.333333333333333,"low","low",5.272531594103145,5.224110734485211,4.0502766168008035,5.156717708060981,0.387843607741723,"low"
"1106_mm1assp","novice",1.0,2,0.798084597,69464,12448,2506,8090,1852,0,0,1,1,7,2,7,1,0,0.0,103556,43657,14502,18823,10332,0,0,1,1,2,1,2,0,1,0.083305565,51135,38300,12004,21815,4481,0,0,1,1,2,1,2,0,5555.0,9670.66666666667,31468.3333333333,74718.3333333333,16242.6666666667,0.0,0.0,0.293796720666667,1.0,3.66666666666667,1.33333333333333,3.66666666666667,0.333333333333333,"low","hign",4.873427175960136,4.497873741854935,3.7446840632768863,3.9854564140700464,0.2509122911166843,"low"
"2405_CBRTASSP","expert",1.6666666666666667,2,0.013585295,443244,177172,147218,19343,10611,0,0,1,1,4,1,3,0,1,0.004965194,535294,396314,201402,12796,182116,1,0,2,1,3,1,1,1,2,0.029381087,185658,129074,68071,27338,33665,1,0,3,1,5,5,4,4,75464.0,138897.0,234186.666666667,388065.333333333,19825.6666666667,0.666666666666667,0.0,0.015977192,2.0,4.0,2.33333333333333,2.66666666666667,1.66666666666667,"high","hign",5.588904848062121,5.369562165040651,4.877739821430666,5.14269286562591,0.32408442623645173,"high"
"2405_CBTASSP","expert",1.0,2,0.03337728,136171,75716,59921,12495,3300,0,0,1,1,1,1,1,0,0,0.0,105122,55286,44261,8419,2606,0,0,1,1,2,1,2,0,1,,,,,,,,,,,2,1,1,,2953.0,52091.0,65501.0,120646.5,10457.0,0.0,0.0,0.01668864,1.0,1.66666666666667,1.0,1.33333333333333,0.0,"low","low",5.081514727382519,4.816247930391275,3.4702634469650784,4.716762694739536,0.2120098179022807,"low"
"2505_NRTASSP","expert",2.0,2,0.015772124,232229,157166,126806,23675,6685,0,0,1,1,2,1,2,0,2,0.046697331,101788,58459,42829,11011,4619,0,0,1,1,1,1,1,0,2,0.045352502,113804,70486,44099,20298,6089,1,0,2,1,1,1,1,1,5797.66666666667,71244.6666666667,95370.3333333333,149273.666666667,18328.0,0.333333333333333,0.0,0.0359406523333333,1.33333333333333,1.33333333333333,1.0,1.33333333333333,0.333333333333333,"low","low",5.1739832006919,4.979413300560139,3.763253242238571,4.852752358870994,0.412137247503251,"high"
"3105_LP1TCI","novice",1.6666666666666667,2,0.026237078,117855,105120,76228,17872,11020,0,0,1,1,4,6,3,25,2,0.021535016,188778,166793,92872,59454,14467,0,0,1,1,3,2,1,1,1,0.009398938,192164,169441,106395,14850,48196,2,0,2,1,4,4,2,4,24561.0,91831.6666666667,147118.0,166265.666666667,30725.3333333333,0.666666666666667,0.0,0.0190570106666667,1.33333333333333,3.66666666666667,4.0,2.0,10.0,"high","hign",5.2208025780432115,5.16766581224098,4.390246045109222,4.962992466464096,0.33581889916792285,"high"
"3105_MR1TCI","novice",1.6666666666666667,1,0.019151218,130774,93286,52216,21589,19481,0,0,1,1,2,5,2,16,2,0.018572344,206552,151964,107687,10557,33720,0,0,1,1,2,2,2,1,2,0.140656868,67339,35322,14219,17585,3518,0,0,1,1,3,2,3,1,18906.3333333333,58040.6666666667,93524.0,134888.333333333,16577.0,0.0,0.0,0.0594601433333333,1.0,2.33333333333333,3.0,2.33333333333333,6.0,"high","hign",5.129974388603965,4.970923073226257,4.2766073105739935,4.763732392187335,0.34986572071093885,"low"
